Time,Category,Message,
9/28/2025 7:15:32 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:13:54 PM,Default,Unhandled exception: Object reference not set to an instance of an object.,
9/28/2025 7:13:54 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 7:13:54 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:13:03 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:13:03 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:13:03 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:13:03 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:13:03 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:13:03 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:13:02 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:13:02 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 7:12:57 PM,Connection,Using HDS (hds-us-nt-015.ninjatrader.com/31655),
9/28/2025 7:12:57 PM,Connection,Time to auto close position='12:00:00 AM' Enabled=False,
9/28/2025 7:12:57 PM,Connection,TakeProfit: Primary connection=Connected Price feed=Connected,
9/28/2025 7:12:56 PM,Connection,TakeProfit: Primary connection=Connecting Price feed=Connecting,
9/28/2025 7:12:46 PM,NinjaScript,Replikanto: Version (1.6.0.3) active on machine id 28F7612C8A0FE06E2DB23C885977DD3C-APEX52165,
9/28/2025 7:12:41 PM,NinjaScript,Replikanto: Windows opened: 1,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring follower account 'ELTDEN2509101614102' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring follower account 'ELTDEN2509121948545' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring follower account 'TAKEPROFIT7144847' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring follower account 'ELTDEN2509101613344' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring follower account 'ELTDEN2509101612489' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring follower account 'ELTDEN2509121948116' from tab '030F0B8E' status = Checked Ratio = 1 PreAllocation = 0 PctField = 0 Cross Order = False Use ATM = False Market Only = True,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Disarm followers is set from tab '030F0B8E' workspace '',
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring leader account 'ELTDEN2509121948116' from tab '030F0B8E',
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Leader instrument was set at the tab '030F0B8E' workspace ''. Old:  new: NQ 12-25,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring leader instrument 'NQ 12-25' from tab '030F0B8E',
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Restoring Replikanto tab from '01B53794' to '030F0B8E'...,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Creating Replikanto tab '01B53794'...,
9/28/2025 7:12:40 PM,NinjaScript,Replikanto: Cleaning up Replikanto tab '03A00041'...,
9/28/2025 7:12:38 PM,NinjaScript,Replikanto: Server Atm Strategy added strategy update event,
9/28/2025 7:12:38 PM,NinjaScript,Replikanto: Creating Replikanto tab '03A00041'...,
9/28/2025 7:12:38 PM,Default,Restoring workspace 'FSP'...,
9/28/2025 7:12:37 PM,NinjaScript,Replikanto: Api Key "...7BUdR",
9/28/2025 7:12:37 PM,Default,Auto close enabled=False,
9/28/2025 7:12:37 PM,Order,Order entry hot keys disabled,
9/28/2025 7:12:37 PM,Connection,Using IS (is-us-nt-005.ninjatrader.com/31658),
9/28/2025 7:12:37 PM,Default,Automated trading disabled,
9/28/2025 7:12:35 PM,Default,Vendor assembly 'Replikanto' version='1.6.0.3' loaded.,
9/28/2025 7:12:34 PM,Default,Global simulation mode disabled,
9/28/2025 7:12:14 PM,Default,Session Break (Version 8.1.1.1),
9/28/2025 7:12:08 PM,Connection,Tradeify: Primary connection=Disconnected Price feed=Disconnected,
9/28/2025 7:12:07 PM,Connection,Tradeify: Primary connection=Disconnecting Price feed=Disconnecting,
9/28/2025 7:12:07 PM,Default,Workspace FSP not saved,
9/28/2025 7:11:42 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:42 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:40 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:40 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:40 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:40 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:34 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 7:11:34 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:11:20 PM,Default,Unhandled exception: Object reference not set to an instance of an object.,
9/28/2025 7:11:20 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
