#schema: NinjaDataExport/v1, delimiter=comma, headerRow=2, emptyFieldsAllowed=true, time=ISO8601, instrument=NQ, timeframe=Minute_5, tradingHours=CME US Index Futures ETH, vwap=tick, tz=Local
timestamp,instrument,period,open,high,low,close,volume,ema20,ema50,ema200,rsi14,atr14,vwap,vwap_upper1,vwap_upper2,vwap_upper3,vwap_lower1,vwap_lower2,vwap_lower3,session_date
2025-09-11T06:25:00.000,NQ,Minute_5,24173,24176.25,24172,24173.5,137,24163.49803887,24157.67785266,24146.0052479,64.59430988,6.84398243,24142.96790554,24160.55747463,24125.37833645,24178.14704373,24107.78876736,24195.73661282,24090.19919827,2025-09-11
2025-09-11T06:30:00.000,NQ,Minute_5,24172.75,24175.75,24171,24175.75,215,24164.66489231,24158.38656432,24146.30121559,66.53534458,6.69441226,24143.14155282,24160.82763566,24125.45546998,24178.5137185,24107.76938714,24196.19980134,24090.0833043,2025-09-11
2025-09-11T06:35:00.000,NQ,Minute_5,24175,24179.25,24174,24175.75,271,24165.72061686,24159.06748337,24146.59423832,66.53534458,6.59123995,24143.38379389,24161.23308473,24125.53450304,24179.08237558,24107.68521219,24196.93166643,24089.83592134,2025-09-11
2025-09-11T06:40:00.000,NQ,Minute_5,24175.75,24179.25,24173,24179.25,157,24167.00912954,24159.85895461,24146.91917127,69.54725199,6.56686567,24143.52273875,24161.46392947,24125.58154803,24179.40512019,24107.64035731,24197.34631091,24089.69916659,2025-09-11
2025-09-11T06:45:00.000,NQ,Minute_5,24179.25,24184.5,24175.5,24178.75,461,24168.12730768,24160.59977992,24147.23589593,68.59741376,6.74066098,24143.96171171,24162.23078711,24125.69263632,24180.4998625,24107.42356092,24198.76893789,24089.15448553,2025-09-11
2025-09-11T06:50:00.000,NQ,Minute_5,24179.25,24182.5,24176.25,24181.75,275,24169.42470694,24161.42920032,24147.57931985,71.14391026,6.70561377,24144.21244263,24162.65389275,24125.77099251,24181.09534287,24107.32954239,24199.53679299,24088.88809227,2025-09-11
2025-09-11T06:55:00.000,NQ,Minute_5,24181.5,24186,24180.25,24185,313,24170.90806819,24162.3535454,24147.95166493,73.6379514,6.63735564,24144.52912496,24163.22762845,24125.83062146,24181.92613195,24107.13211797,24200.62463544,24088.43361448,2025-09-11
2025-09-11T07:00:00.000,NQ,Minute_5,24185.75,24187.5,24182.75,24183.5,253,24172.10729979,24163.18281813,24148.30537971,70.60480768,6.50254452,24144.79773346,24163.72910897,24125.86635796,24182.66048447,24106.93498246,24201.59185997,24088.00360695,2025-09-11
2025-09-11T07:05:00.000,NQ,Minute_5,24184.25,24187.5,24181.5,24184.75,296,24173.31136648,24164.02858997,24148.66801274,71.6526762,6.46664849,24145.09611069,24164.26415954,24125.92806183,24183.4322084,24106.76001297,24202.60025726,24087.59196411,2025-09-11
2025-09-11T07:10:00.000,NQ,Minute_5,24185.25,24185.75,24181.5,24183.5,208,24174.28171253,24164.79217468,24149.01459968,69.00364424,6.30831645,24145.30200036,24164.62745316,24125.97654755,24183.95290596,24106.65109475,24203.27835877,24087.32564194,2025-09-11
